age,female,urban,educ,year,median_x,lowerci_95,upperci_95
999,0,999,999,2018,39.41662535,38.46287406,40.52717781
999,1,999,999,2018,41.12253439,40.20209963,42.20830485
0.5,999,999,999,2018,46.92547386,45.00083281,49.04818017
1.5,999,999,999,2018,42.67452477,41.21011103,44.31082278
3.5,999,999,999,2018,40.21024194,38.91898925,41.54321624
7.5,999,999,999,2018,38.50726157,37.40258253,39.66127964
12.5,999,999,999,2018,38.08218424,37.05689195,39.13475184
17.5,999,999,999,2018,38.04960426,37.04504934,39.07448025
22.5,999,999,999,2018,38.05008297,37.11205282,39.10476592
27.5,999,999,999,2018,38.20965746,37.28854951,39.35178974
32.5,999,999,999,2018,38.83909031,37.87580583,40.17442966
37.5,999,999,999,2018,39.84223818,38.83282034,41.36612516
42.5,999,999,999,2018,40.39790996,39.3887388,41.95950408
47.5,999,999,999,2018,40.89315454,39.83996857,42.4054391
52.5,999,999,999,2018,41.66026213,40.59042312,43.17356658
57.5,999,999,999,2018,42.60939224,41.53046337,44.1651609
62.5,999,999,999,2018,43.29950931,42.182857,44.83184789
67.5,999,999,999,2018,43.81568913,42.70208055,45.27319827
72.5,999,999,999,2018,44.59853104,43.45179247,46.0098838
77.5,999,999,999,2018,46.46297666,45.22995662,47.80640237
82.5,999,999,999,2018,47.04123754,45.86612651,48.27056331
87.5,999,999,999,2018,47.57113555,46.46701402,48.67356864
92.5,999,999,999,2018,47.96642779,46.95875457,48.97510633
97.5,999,999,999,2018,48.70442193,47.67566118,49.70922348
999,999,0,999,2018,41.48157206,40.37577883,43.09847271
999,999,1,999,2018,39.18089916,38.27330585,40.16905382
999,999,999,1,2018,40.60043611,39.35960314,42.08373932
999,999,999,2,2018,40.26584957,39.33621351,41.47441396
999,999,999,3,2018,39.51011701,38.75572266,40.28677292
0.5,0,999,999,2018,46.41061186,44.41319423,48.56178903
1.5,0,999,999,2018,42.08056988,40.53667504,43.73392537
3.5,0,999,999,2018,39.56907945,38.23434989,40.96869488
7.5,0,999,999,2018,37.83837713,36.63457459,39.0452305
12.5,0,999,999,2018,37.39684257,36.21169098,38.55160441
17.5,0,999,999,2018,37.43316722,36.3166067,38.56413559
22.5,0,999,999,2018,37.44814841,36.41358096,38.58029278
27.5,0,999,999,2018,37.5650248,36.54422103,38.80715609
32.5,0,999,999,2018,38.15355054,37.09902319,39.59016141
37.5,0,999,999,2018,39.11496991,38.01109023,40.70651582
42.5,0,999,999,2018,39.60369482,38.51848087,41.2304622
47.5,0,999,999,2018,40.07929765,38.91299276,41.6536739
52.5,0,999,999,2018,40.78727413,39.59557156,42.37938366
57.5,0,999,999,2018,41.60834152,40.45836212,43.20566691
62.5,0,999,999,2018,42.25040375,41.01758829,43.86732523
67.5,0,999,999,2018,42.68207265,41.429034,44.23273281
72.5,0,999,999,2018,43.35872019,42.12492669,44.84919627
77.5,0,999,999,2018,45.22830056,43.85705956,46.6506996
82.5,0,999,999,2018,45.65580033,44.35510487,47.00890551
87.5,0,999,999,2018,45.9828105,44.71489199,47.2249146
92.5,0,999,999,2018,45.99813515,44.77989842,47.15286639
97.5,0,999,999,2018,46.31329465,45.05416278,47.52861628
0.5,1,999,999,2018,47.47985268,45.58604565,49.63240533
1.5,1,999,999,2018,43.32904238,41.81221532,44.99411671
3.5,1,999,999,2018,40.87555988,39.50459067,42.24859588
7.5,1,999,999,2018,39.23414171,38.02408059,40.47604403
12.5,1,999,999,2018,38.82024829,37.66104244,39.96773911
17.5,1,999,999,2018,38.72126504,37.62635864,39.86420399
22.5,1,999,999,2018,38.70244083,37.65215218,39.81552383
27.5,1,999,999,2018,38.90631063,37.91380186,40.08162664
32.5,1,999,999,2018,39.54869921,38.52990062,40.9253734
